material,r,V,p_int,q_int,recon,dissoc
carbon,0.9958064516129033,9.2047245217672461534564678526050925451965025141657432796373228579266885153312159E-19,0,0,0E-79,1
carbon,0.9973118279569892,9.1304521460063686201470065403444684677214353256000611981709972518144859835524668E-19,0,0,0E-79,1
carbon,0.9988172043010752,9.0566471404637887230893830262656716778569619485280845544367514916738678157366750E-19,0,0,0E-79,1
carbon,1.0003225806451612,8.9833070998806944617940230729097072782470132763884449622197140406927319978485524E-19,0,0,0E-79,1
carbon,1.0018279569892474,8.9104296305113273055822730149478525307668165498011374945012079060071654651924808E-19,0,0,0E-79,1
carbon,1.0033333333333334,8.8380123500696405066200059511530248588875561254732278957890051045568718988229030E-19,0,0,0E-79,1
carbon,1.0048387096774194,8.7660528876760662702460810508655729262628527467365276264316345870334654881099126E-19,0,0,0E-79,1
carbon,1.0063440860215054,8.6945488838046723814263926843677848539694379378804158008422240864393212887969759E-19,0,0,0E-79,1
carbon,1.0078494623655914,8.6234979902304474909028092346257167193813649749362550602354236568857616672513646E-19,0,0,0E-79,1
carbon,1.0093548387096773,8.5528978699768831014175908182610484182704490620375336427705818022094853857251918E-19,0,0,0E-79,1
carbon,1.0108602150537636,8.4827461972637697678918268546836158642030811647783536697006730211334349481396047E-19,0,0,0E-79,1
carbon,1.0123655913978495,8.4130406574553117481463209464342045701369491071145271602718233374538392556603077E-19,0,0,0E-79,1
carbon,1.0138709677419355,8.3437789470082928675128201419683209131763967602776524937952463269888762945487843E-19,0,0,0E-79,1
carbon,1.0153763440860215,8.2749587734207100211120583693555724858214705695454385227621281970831913932214364E-19,0,0,0E-79,1
carbon,1.0168817204301075,8.2065778551804616872712727492914330351853150639408169529401700666990055542972728E-19,0,0,0E-79,1
carbon,1.0183870967741935,8.1386339217143822303529765591099866619524183954810116394556011673164544230945542E-19,0,0,0E-79,1
carbon,1.0198924731182797,8.0711247133374251415541749444697489933795569401469785638155691332595155082359782E-19,0,0,0E-79,1
carbon,1.0213978494623657,8.0040479812021652650513422271535878214842656716645726494111373112441164527014476E-19,0,0,0E-79,1
carbon,1.0229032258064517,7.9374014872484539087982204767799549075966799553851677156745834682216893249768542E-19,0,0,0E-79,1
carbon,1.0244086021505376,7.8711830041533292278859325418568097368750311309561618416903294037251962207538968E-19,0,0,0E-79,1
carbon,1.0259139784946236,7.8053903152811922115578361052724214304150539317516716430919160381764308013285295E-19,0,0,0E-79,1
carbon,1.0274193548387096,7.7400212146341699306969113913984966369334747997487856793304180422378569576975481E-19,0,0,0E-79,1
carbon,1.0289247311827956,7.6750735068027048280963812621564827056616325255074243731227564332122984119687033E-19,0,0,0E-79,1
carbon,1.0304301075268818,7.6105450069164168101136194442671931168875567764045422279368973102515126199076091E-19,0,0,0E-79,1
carbon,1.0319354838709678,7.5464335405951023496106017690078037963363712541318944527626750458087930844047557E-19,0,0,0E-79,1
carbon,1.0334408602150538,7.4827369439000602360551165472264384600668151768674367551647862844042854953127997E-19,0,0,0E-79,1
carbon,1.0349462365591398,7.4194530632855631524162844412439804877626274547591278819593715375062073441139559E-19,0,0,0E-79,1
carbon,1.0364516129032257,7.3565797555505767462811544498655677387388068956395499463549570036951444489318114E-19,0,0,0E-79,1
carbon,1.037956989247312,7.2941148877907179547613209091079850481608470407124791284353838318452058234520576E-19,0,0,0E-79,1
carbon,1.039462365591398,7.2320563373504238882927587288333658942903885229012813709123597436470415547045433E-19,0,0,0E-79,1
carbon,1.040967741935484,7.1704019917752906414122915525240562460715381883567929089721243911940709934518369E-19,0,0,0E-79,1
carbon,1.04247311827957,7.1091497487647171049601739324088299789259658553713380821075328036669803779212892E-19,0,0,0E-79,1
carbon,1.0439784946236559,7.0482975161246919315066633649335708984656811641845448992793054541621175922164928E-19,0,0,0E-79,1
carbon,1.0454838709677419,6.9878432117208341668687692293470735811894240745046949052051051692787067966176201E-19,0,0,0E-79,1
carbon,1.0469892473118279,6.9277847634316348339742872862573208933097073606097510082112394862055665400952866E-19,0,0,0E-79,1
carbon,1.048494623655914,6.8681201091019127760139434526368712776484487220786914984033020178027190450460344E-19,0,0,0E-79,1
