material,Z,r,V,p_int,q_int,recon,dissoc
carbon,6,0.8633333333333334,1.7887079880901668858817871063731117710784326199809760006892377849222739094513302E-18,0,0,0E-79,1
carbon,6,0.8648387096774194,1.7760751755698616811215651959385785027571979023571587106916692739820227678357717E-18,0,0,0E-79,1
carbon,6,0.8663440860215054,1.7635154732916814067455968184533871743006896904053948832036231167668969195502712E-18,0,0,0E-79,1
carbon,6,0.8678494623655915,1.7510285153136766118971009438120038287380827176863558806971554503372942071010708E-18,0,0,0E-79,1
carbon,6,0.8693548387096774,1.7386139374251674552230501238075793195671065034104988107873379908217400917706089E-18,0,0,0E-79,1
carbon,6,0.8708602150537634,1.7262713771387486954605271140427219680571827506135994043010839190407097479066473E-18,0,0,0E-79,1
carbon,6,0.8723655913978495,1.7140004736823468176796496726190168361165951555621716769433120761010851660277818E-18,0,0,0E-79,1
carbon,6,0.8738709677419355,1.7018008679913050636199248611735735570501415662984269268989313530352263562438122E-18,0,0,0E-79,1
carbon,6,0.8753763440860215,1.6896722027005013554674560531957184530808845173989048201986837678385767280827710E-18,0,0,0E-79,1
carbon,6,0.8768817204301076,1.6776141221365086639938348203834417445841000590308249244065854670282626358819314E-18,0,0,0E-79,1
carbon,6,0.8783870967741936,1.6656262723097910431313391435021800094751942598804150387254291888162503056285157E-18,0,0,0E-79,1
carbon,6,0.8798924731182796,1.6537083009069280660117064865873957055698015807182763191285521680206391231137301E-18,0,0,0E-79,1
carbon,6,0.8813978494623657,1.6418598572828819188021460433199453263775081443838812267813614374847810232335102E-18,0,0,0E-79,1
carbon,6,0.8829032258064516,1.6300805924533004585413283412865144425898847623692427815217454678328297281525340E-18,0,0,0E-79,1
carbon,6,0.8844086021505376,1.6183701590868444102353680899231178729814203620211206437166572709976016409447867E-18,0,0,0E-79,1
carbon,6,0.8859139784946237,1.6067282114975644367368822656160424213177288584180625440817144995299999931488967E-18,0,0,0E-79,1
carbon,6,0.8874193548387097,1.5951544056373050869897562398717472755527111068296921423231488309289885530529037E-18,0,0,0E-79,1
carbon,6,0.8889247311827957,1.5836483990881403562380338013310559346628941240031255782805885810330915104584041E-18,0,0,0E-79,1
carbon,6,0.8904301075268818,1.5722098510548499172571330889718689242875093652883315090321049556387520283659140E-18,0,0,0E-79,1
carbon,6,0.8919354838709678,1.5608384223574295895935297948546077780586933374374247929198370126829579931070227E-18,0,0,0E-79,1
carbon,6,0.8934408602150538,1.5495337754236291540079943118032904588499617565265529215617027678439494189030532E-18,0,0,0E-79,1
carbon,6,0.8949462365591399,1.5382955742815310341313589027129430288252132350250281793271973975775103265018217E-18,0,0,0E-79,1
