instance,row,col,x,y
u_spu26/node_86,42,20,0.09259259259259259,0.611111111111111
u_spu26/node_87,45,20,0.09259259259259259,0.6481481481481481
u_spu26/node_88,26,24,0.12962962962962962,0.35185185185185186
u_spu26/node_89,28,24,0.12962962962962962,0.38888888888888884
u_spu26/node_90,31,24,0.12962962962962962,0.42592592592592593
u_spu26/node_91,26,29,0.16666666666666666,0.35185185185185186
u_spu26/node_92,31,29,0.16666666666666666,0.42592592592592593
u_spu26/node_93,26,34,0.2037037037037037,0.35185185185185186
u_spu26/node_94,28,34,0.2037037037037037,0.38888888888888884
u_spu26/node_95,31,34,0.2037037037037037,0.42592592592592593
u_spu26/node_96,40,24,0.12962962962962962,0.5740740740740741
u_spu26/node_97,42,24,0.12962962962962962,0.611111111111111
u_spu26/node_98,45,24,0.12962962962962962,0.6481481481481481
u_spu26/node_99,40,29,0.16666666666666666,0.5740740740740741
u_spu26/node_100,45,29,0.16666666666666666,0.6481481481481481
u_spu26/node_101,40,34,0.2037037037037037,0.5740740740740741
u_spu26/node_102,42,34,0.2037037037037037,0.611111111111111
u_spu26/node_103,45,34,0.2037037037037037,0.6481481481481481
u_spu26/node_104,26,39,0.24074074074074073,0.35185185185185186
u_spu26/node_105,28,39,0.24074074074074073,0.38888888888888884
u_spu26/node_106,31,39,0.24074074074074073,0.42592592592592593
u_spu26/node_107,26,43,0.2777777777777778,0.35185185185185186
u_spu26/node_108,31,43,0.2777777777777778,0.42592592592592593
u_spu26/node_109,26,48,0.31481481481481477,0.35185185185185186
u_spu26/node_110,28,48,0.31481481481481477,0.38888888888888884
u_spu26/node_111,31,48,0.31481481481481477,0.42592592592592593
u_spu26/node_112,33,39,0.24074074074074073,0.4629629629629629
u_spu26/node_113,36,39,0.24074074074074073,0.5
u_spu26/node_114,38,39,0.24074074074074073,0.537037037037037
u_spu26/node_115,33,43,0.2777777777777778,0.4629629629629629
u_spu26/node_116,38,43,0.2777777777777778,0.537037037037037
u_spu26/node_117,33,48,0.31481481481481477,0.4629629629629629
u_spu26/node_118,36,48,0.31481481481481477,0.5
u_spu26/node_119,38,48,0.31481481481481477,0.537037037037037
u_spu26/node_120,40,39,0.24074074074074073,0.5740740740740741
u_spu26/node_121,42,39,0.24074074074074073,0.611111111111111
u_spu26/node_122,45,39,0.24074074074074073,0.6481481481481481
u_spu26/node_123,40,43,0.2777777777777778,0.5740740740740741
u_spu26/node_124,45,43,0.2777777777777778,0.6481481481481481
u_spu26/node_125,40,48,0.31481481481481477,0.5740740740740741
u_spu26/node_126,42,48,0.31481481481481477,0.611111111111111
u_spu26/node_127,45,48,0.31481481481481477,0.6481481481481481
u_spu26/node_128,47,10,0.018518518518518517,0.6851851851851851
u_spu26/node_129,50,10,0.018518518518518517,0.7222222222222222
u_spu26/node_130,52,10,0.018518518518518517,0.7592592592592592
u_spu26/node_131,47,15,0.05555555555555555,0.6851851851851851
u_spu26/node_132,52,15,0.05555555555555555,0.7592592592592592
u_spu26/node_133,47,20,0.09259259259259259,0.6851851851851851
u_spu26/node_134,50,20,0.09259259259259259,0.7222222222222222
u_spu26/node_135,52,20,0.09259259259259259,0.7592592592592592
u_spu26/node_136,54,10,0.018518518518518517,0.7962962962962962
u_spu26/node_137,56,10,0.018518518518518517,0.8333333333333331
u_spu26/node_138,59,10,0.018518518518518517,0.8703703703703702
u_spu26/node_139,54,15,0.05555555555555555,0.7962962962962962
u_spu26/node_140,59,15,0.05555555555555555,0.8703703703703702
u_spu26/node_141,54,20,0.09259259259259259,0.7962962962962962
u_spu26/node_142,56,20,0.09259259259259259,0.8333333333333331
u_spu26/node_143,59,20,0.09259259259259259,0.8703703703703702
u_spu26/node_144,61,10,0.018518518518518517,0.9074074074074073
u_spu26/node_145,63,10,0.018518518518518517,0.9444444444444443
u_spu26/node_146,62,9,0.018518518518518517,0.9814814814814814
u_spu26/node_147,61,15,0.05555555555555555,0.9074074074074073
u_spu26/node_148,63,15,0.05555555555555555,0.9814814814814814
u_spu26/node_149,61,20,0.09259259259259259,0.9074074074074073
u_spu26/node_150,63,20,0.09259259259259259,0.9444444444444443
u_spu26/node_151,62,19,0.09259259259259259,0.9814814814814814
u_spu26/node_152,47,24,0.12962962962962962,0.6851851851851851
u_spu26/node_153,50,24,0.12962962962962962,0.7222222222222222
u_spu26/node_154,52,24,0.12962962962962962,0.7592592592592592
u_spu26/node_155,47,29,0.16666666666666666,0.6851851851851851
u_spu26/node_156,52,29,0.16666666666666666,0.7592592592592592
u_spu26/node_157,47,34,0.2037037037037037,0.6851851851851851
u_spu26/node_158,50,34,0.2037037037037037,0.7222222222222222
u_spu26/node_159,52,34,0.2037037037037037,0.7592592592592592
u_spu26/node_160,61,24,0.12962962962962962,0.9074074074074073
u_spu26/node_161,63,24,0.12962962962962962,0.9444444444444443
u_spu26/node_162,62,23,0.12962962962962962,0.9814814814814814
u_spu26/node_163,61,29,0.16666666666666666,0.9074074074074073
u_spu26/node_164,63,29,0.16666666666666666,0.9814814814814814
u_spu26/node_165,61,34,0.2037037037037037,0.9074074074074073
u_spu26/node_166,63,34,0.2037037037037037,0.9444444444444443
u_spu26/node_167,62,33,0.2037037037037037,0.9814814814814814
u_spu26/node_168,47,39,0.24074074074074073,0.6851851851851851
u_spu26/node_169,50,39,0.24074074074074073,0.7222222222222222
u_spu26/node_170,52,39,0.24074074074074073,0.7592592592592592
u_spu26/node_171,47,43,0.2777777777777778,0.6851851851851851
u_spu26/node_172,52,43,0.2777777777777778,0.7592592592592592
u_spu26/node_173,47,48,0.31481481481481477,0.6851851851851851
u_spu26/node_174,50,48,0.31481481481481477,0.7222222222222222
u_spu26/node_175,52,48,0.31481481481481477,0.7592592592592592
u_spu26/node_176,54,39,0.24074074074074073,0.7962962962962962
u_spu26/node_177,56,39,0.24074074074074073,0.8333333333333331
